Card,Song,Link,Tags
Darker than Black,Op 2,https://www.youtube.com/watch?v=S-PjhOWhx3Q,OP
Darker than Black,Op 3,https://www.youtube.com/watch?v=JXTNhHfcHpU,OP
My Hero Academia,Op 1,https://www.youtube.com/watch?v=L1FdEBTJXus,OP
My Hero Academia,Op 2,https://www.youtube.com/watch?v=Q7w5IMyJ3pM,OP
Charlotte,Op,https://www.youtube.com/watch?v=kYm-0pr5t50,OP
Assassination Classroom,Op 1,https://www.youtube.com/watch?v=Tgla0Q88V_Y,OP
Yamada-kun and the Seven Witches,Op,https://www.youtube.com/watch?v=BHncfQjJb_w,OP
Steins;Gate,Op,https://www.youtube.com/watch?v=1FPdtR_5KFo,OP
Erased,Op,https://www.youtube.com/watch?v=fodAJ-1dN3I,OP
Erased,Ed,https://www.youtube.com/watch?v=Od9NQbyNpwE,ED
Fate/Zero,Op 1,https://www.youtube.com/watch?v=t1Wkgj7mntM,OP
Owari no Seraph,Op 1,https://www.youtube.com/watch?v=MxoJvOE7hcU,OP
Nanatsu no Taizai,Op 1,https://www.youtube.com/watch?v=Yp5tArFcNoA,OP
Nanatsu no Taizai,Op 2,https://www.youtube.com/watch?v=lD-nLjQE9SU,OP
Gurren Lagann,Op 1,https://www.youtube.com/watch?v=FwgMxjhXkKo,OP
Death Parade,Op,https://www.youtube.com/watch?v=Ca5Tf5BDSYI,OP
One Punch Man,Op 1,https://www.youtube.com/watch?v=atxYe-nOa9w,OP
Carnival Phantasm,Op,https://www.youtube.com/watch?v=62c7_zKoSV8,OP
Carnival Phantasm,Ed,https://www.youtube.com/watch?v=AqkXGHNzgbA,ED
No Game No Life,Op,https://www.youtube.com/watch?v=6CBp4qylX6I,OP
Kekkai Sensen,Op 1,https://www.youtube.com/watch?v=3XiYyiwFNRo,OP
Kekkai Sensen,Ed 1,https://www.youtube.com/watch?v=j3SlUmr_T4g,ED
Kekkai Sensen,Ed 2,https://www.youtube.com/watch?v=LMSbg7z1E-0,ED
Mirai Nikki,Op,https://www.youtube.com/watch?v=WveI4wVCF-4,OP
Parasyte,Op,https://www.youtube.com/watch?v=ziatgnrtG0Y,OP
Parasyte,Next to You,https://www.youtube.com/watch?v=N-qZaGm8m4k,Soundtrack
Squid Girl,Op 1,https://www.youtube.com/watch?v=tR64Xn5syrw,OP
Soul Eater,Op 1,https://www.youtube.com/watch?v=zzJ8U8OtEsE,OP
Soul Eater,Op 2,https://www.youtube.com/watch?v=-eYK3YP524A,OP
Soul Eater,Ed 3,https://www.youtube.com/watch?v=6W1ajuerl6o,ED
Soul Eater,Bang bang bang bang have a nice dream,https://www.youtube.com/watch?v=kXN84iGV2Y0,Soundtrack
The Devils a Part-Timer,Op 1,https://www.youtube.com/watch?v=oe9gQt-x_BE,OP
Shingeki no Bahamut,Op 1,https://www.youtube.com/watch?v=37Xm0ruEvoc,OP
Kinos Journey,New Op,https://www.youtube.com/watch?v=-rBNn0q6u_A,OP
Kinos Journey,Og Op,https://www.youtube.com/watch?v=a7f0ESMofbI,OP
Ef,Melodies Op,https://www.youtube.com/watch?v=Egmf2bl6HoI,OP
Made in Abyss,Op 1,https://www.youtube.com/watch?v=e91G8m9uM_0,OP
The Ancient Magus Bride,Op 1,https://www.youtube.com/watch?v=KuZbmLLv1vM,OP
Your Name,Sparkle,https://www.youtube.com/watch?v=-pHfPJGatgE,Soundtrack
Your Name,Nandemonaiya,https://www.youtube.com/watch?v=n89SKAymNfA,Soundtrack
