Card,Song,Link,Tags
Spy X Family,Mixed Nuts,https://youtu.be/EzGs8Tm_C2g?si=m0sIOZudtDrlhf-j,OP
Digimon,JP Op (Butterfly),https://www.youtube.com/watch?v=6sGsBgm1EMg,OP
Spy X Family,Kigeki,https://youtu.be/OoJBMjjIXY4?si=tlf6Yq90N76dVK49,ED
Little Witch Academia,OP 1,https://www.youtube.com/watch?v=JRmgL564x8E,OP
Tonari no Seki-kun,OP 1,https://www.youtube.com/watch?v=FBaTMEAe6bc,OP
Tonari no Seki-kun,Ed 1,https://www.youtube.com/watch?v=oIKB7i6fcmk,ED
A Place Further than the Universe,Op 1,https://www.youtube.com/watch?v=DaTzRcSyEWc,OP
Amagi Brilliant Park,OP 1,https://www.youtube.com/watch?v=L1SeZtTb_i8,OP
Chihayafuru,OP 1,https://www.youtube.com/watch?v=IcCJgmLZYkE,OP
Code Geass,OP 1,https://www.youtube.com/watch?v=G8CFuZ9MseQ,OP
Code Geass,OP 2,https://www.youtube.com/watch?v=0-Tivlwd6eY&list=PLIKuTEqfnM5W29NoNhBK756C2R9RwkG5_&index=2,Soundtrack
Persona,Take Over,https://www.youtube.com/watch?v=rJ2KB5LVdqA&list=RDQMVuGM-n5Iws4&start_radio=1,Soundtrack
Persona,"Wake up, Get up",https://www.youtube.com/watch?v=SmQ1ZXTHNKA&list=PLZuZrScKjWOMAEEBEGTmAGtmmlg6QY7bC,Soundtrack
Persona,Beneath the Mask,https://www.youtube.com/watch?v=0-R0jxIxvh8&list=PLZuZrScKjWOMAEEBEGTmAGtmmlg6QY7bC&index=29,Soundtrack
Persona,Life will change,https://www.youtube.com/watch?v=CGwH6rZk7VM,Soundtrack
Persona,River in the desert,https://www.youtube.com/watch?v=XD-OFP-0H5g,Soundtrack
Darling in the Franxx,OP 1,https://www.youtube.com/watch?v=A4kLcDWBYcQ,OP
Darling in the Franxx,ED 1,https://www.youtube.com/watch?v=IAZMcHA7rYs,OP
Dragon Pilot,OP 1,https://www.youtube.com/watch?v=-L0QLAnkvqY,OP
How Many Kilograms are in your Dumbells,OP 1,https://www.youtube.com/watch?v=ULjbIMvP6A0,OP
Gabriel Dropout,OP 1,https://www.youtube.com/watch?v=UfiU6b8LZb0,OP
Gabriel Dropout,ED 1,https://www.youtube.com/watch?v=LAUF7t4xY98,ED
Girls und Panzer,OP 1,https://www.youtube.com/watch?v=3rkn-xqhSDc,OP
Goblin Slayer,OP 1,https://www.youtube.com/watch?v=N301TAIEYy4,OP
Hajime No Ippo,OP 4,https://www.youtube.com/watch?v=OapLuWMhlfk&ab_channel=Rayanblld,OP
Interviews with Monster Girls,OP 1,https://www.youtube.com/watch?v=naJZAXwlxjk,OP
Kaguya-sama Love is War,OP 1,https://www.youtube.com/watch?v=lTlzDfhPtFA,OP
Code Breaker,OP 1,https://www.youtube.com/watch?v=vXJ4volnOkI&ab_channel=TheMasked,OP
Kaguya-sama Love is War,OP 2,https://www.youtube.com/watch?v=Do1UtRDoQa0,OP
Lull in the Sea,OP 2,https://www.youtube.com/watch?v=9T4UvPN_H_s,OP
Toradora,OP 1,https://www.youtube.com/watch?v=CzOEMJSQRZU,OP
Toradora,OP 2,https://www.youtube.com/watch?v=NelsVmSt8xY&list=RDCzOEMJSQRZU&index=2,OP
MMO Junkie,OP 1,https://www.youtube.com/watch?v=Ln6NpxYb73k,OP
Space Dandy,OP 1,https://www.youtube.com/watch?v=IZzSxLdLVp4,OP
Space Dandy,Ed 1,https://www.youtube.com/watch?v=0EHzC0xD0rM,ED
Slime Isekai,OP 1,https://www.youtube.com/watch?v=ZhvUomsfG8o,OP
Beastars,OP 1,https://www.youtube.com/watch?v=bgo9dJB_icw,OP
Uzaki-chan,OP 1,https://www.youtube.com/watch?v=U3JVomxH8Xo,OP
Chainsaw Man,OP 1,https://www.youtube.com/watch?v=M2cckDmNLMI&ab_channel=KenshiYonezu%E7%B1%B3%E6%B4%A5%E7%8E%84%E5%B8%AB,OP
Shikabane Hime,OP 1,https://www.youtube.com/watch?v=oDvFgCdbsm4,OP
Cowboy Bebop,OP 1,https://www.youtube.com/watch?v=EL-D9LrFJd4,OP
Blend S,OP 1,https://www.youtube.com/watch?v=ZRrauyTlT6U,OP
Gintama,OP 1,https://www.youtube.com/watch?v=REHaJZgWwxY&list=PLy3qwcjRGnFIZ0M22otbVpeWeYHQKtEfz&index=1,OP
Gintama,OP 2,https://www.youtube.com/watch?v=jbv5rCcTCfc&list=PLy3qwcjRGnFIZ0M22otbVpeWeYHQKtEfz&index=2,OP
Gintama,OP 3,https://www.youtube.com/watch?v=4uHbNfZDxqA&list=PLy3qwcjRGnFIZ0M22otbVpeWeYHQKtEfz&index=3,OP
Gintama,OP 5,https://www.youtube.com/watch?v=YCq4-r9annU&list=PLy3qwcjRGnFIZ0M22otbVpeWeYHQKtEfz&index=5,OP
Gintama,OP 9,https://www.youtube.com/watch?v=-B3rpKfva1w&list=PLy3qwcjRGnFIZ0M22otbVpeWeYHQKtEfz&index=9,OP
Gintama,Shura,https://www.youtube.com/watch?v=BKhvTZIft8k,ED
Gintama,Mr Raindrop,https://www.youtube.com/watch?v=IxDrKYEe8Y4,ED
Weathering With You,OST - Grand Escape,https://www.youtube.com/watch?v=cCETkLyO7ps&ab_channel=AniMelody,Soundtrack
Gintama,Ed 17,https://www.youtube.com/watch?v=v0cAJ1Cg8E8,ED
Gintama,Op 13,https://www.youtube.com/watch?v=GQRMESLHVc0,OP
Jojo,Op 7,https://www.youtube.com/watch?v=mU3vgXUKeFM,OP
Kill La Kill,Op1,https://www.youtube.com/watch?v=k62_N6O2esw&ab_channel=DQ8ReSlime,OP
Kill La Kill,Op2,https://www.youtube.com/watch?v=WP9SHntROwU&ab_channel=KillProject,OP
Kill La Kill,Light your Heart Up,https://www.youtube.com/watch?v=bGGY6R4AtH0&ab_channel=HiroyukiSAWANO-Topic,Soundtrack
Drifting Dragon,Op 1,https://www.youtube.com/watch?v=6LZSjZL7c-U,OP
Jojo,Op A,https://www.youtube.com/watch?v=wPdX66-Ag2s&list=PLJrvLNDbcTd4uwprjTN5nwwPzRmHf116i,OP
Jojo,Op B,https://www.youtube.com/watch?v=DdGEcJnyVsU&list=PLJrvLNDbcTd4uwprjTN5nwwPzRmHf116i&index=2,OP
Jojo,Op C,https://www.youtube.com/watch?v=SJkCLcnGB-c&list=PLJrvLNDbcTd4uwprjTN5nwwPzRmHf116i&index=3,OP
Jojo,Op D,https://www.youtube.com/watch?v=AQ3oyp4D6FY&list=PLJrvLNDbcTd4uwprjTN5nwwPzRmHf116i&index=12,OP
Jojo,Op E,https://www.youtube.com/watch?v=rGfAyOFUdEY,OP
Samurai Flamenco,Op 1,https://www.youtube.com/watch?v=SC3j_j6tDio,OP
Violet Evergarden,Ed 1,https://www.youtube.com/watch?v=Tzff0e1XegM&ab_channel=Intromania,ED
My Neighbour Totoro,OP 1,https://www.youtube.com/watch?v=DoDJX9pPFLY,OP
My Neighbour Totoro,ED 1,https://www.youtube.com/watch?v=QWPInzLdmsM&list=PL9DsKjFrb_6krdn1A15XLpQjaDn9eNi2u&index=19,OP
Ga Rei Zero,OP 1,https://www.youtube.com/watch?v=09V7mZxeaO8&ab_channel=Ryugilumpy,OP
Howl’s Moving Castle,Main Theme,https://www.youtube.com/watch?v=f7SS57LFPco,Soundtrack
Black Cat,OP 1,https://www.youtube.com/watch?v=hLEK4p0FODs&ab_channel=Yorico-Topic,OP
Black Clover,Op 13,https://www.youtube.com/watch?v=aaZq6SXXNt4,OP
Pokemon,Heroes of Hoenn,https://www.youtube.com/watch?v=M7lQsy-4k-E,Soundtrack
